Year,Month,State,Ozone,CO,SO2,NO2,PM10,PM2.5
2021,8,Andhra Pradesh,24.099141093369177,0.6442940040860214,9.147025063046597,21.188958172580644,61.243406009319,27.288164748207887
2021,8,Arunachal Pradesh,12.809005023225806,0.2452756083870967,28.931958649032257,5.251877045290322,29.940436575483872,9.535592364516129
2021,8,Assam,23.61955792688172,0.6143637104946236,22.346340883189963,8.260310044186381,103.82910313799285,52.964145
2021,8,Bihar,32.13742020778643,0.9419062378197998,7.22594729788654,27.504957907775307,142.05748729354838,65.72501123354839
2021,8,Chandigarh,40.604998793978496,0.7585854729462366,7.087120449720429,30.90994840344086,91.54873637849462,44.14976225548387
2021,8,Chhattisgarh,17.55797226,0.721384558,10.95072235,33.28609626,58.92661372,42.0941967
2021,8,Delhi,22.40684679208602,0.9527977012946236,7.664494010806451,27.176227930268816,115.46208310967742,40.689989670752695
2021,8,Gujarat,16.27793677898263,0.6377332254491315,11.531296995707198,13.441972474243176,71.32244353870968,37.20854743024814
2021,8,Haryana,27.42536672639551,0.5814688803436184,11.908942469635344,18.029352666367465,105.33106056718093,40.14208287068723
2021,8,Himachal Pradesh,65.11646707,0.596966068,28.65698603,18.75348643,142.547485,58.96892216
2021,8,Jammu and Kashmir,6.166129032258064,0.2638709677419354,6.170576307741935,10.946331329032258,78.28,24.73935483870968
2021,8,Jharkhand,46.68387324,4.986901408,14.86428571,14.24147887,105.8316484,82.60571429
2021,8,Karnataka,19.48552555501152,0.5688074861013824,10.733820161428572,17.400999080529953,45.14365086632488,19.777061668018437
2021,8,Kerala,26.227047047788016,0.978853261281106,15.872058121184333,16.475348161981568,40.83444473990783,22.7643840162212
2021,8,Madhya Pradesh,34.58524553562724,0.717844947888889,14.921247603512544,23.50849383526882,87.36443312921146,34.09964660915771
2021,8,Maharashtra,23.915560101573803,0.9113310701246334,15.998668786041057,23.595735268450635,86.48353634838709,36.59799730770283
2021,8,Meghalaya ,7.780898876,0.541333333,8.514944444,14.25653631,39.85819355,19.3056051
2021,8,Nagaland,8.84451612903226,0.282258064516129,27.184838709677415,2.660322580645161,44.108387096774194,17.09935483870968
2021,8,Odisha,38.92412002,0.606495381,8.730087159,19.03920359,134.1505236,60.51482899
2021,8,Puducherry,38.9458064516129,0.6006451612903226,8.61516129032258,9.58774193548387,36.52612903225806,12.482903225806451
2021,8,Punjab,24.5747311827957,0.6681182795698924,8.808494623655914,13.532682662956988,75.43322580645162,35.53693548387097
2021,8,Rajasthan,39.090802269330645,0.7293636367935483,9.87984459935242,25.86898288846774,106.81472279185483,44.46340741493548
2021,8,Sikkim,25.74752665,0.29336887,17.75347548,3.02042735,32.14306878,16.2701737
2021,8,Tamil Nadu,16.390321844596773,0.8804516252459678,13.864840431330649,14.477916018407257,59.1080508403629,25.401666132076613
2021,8,Telangana,16.493864301290323,0.6012442669677419,8.442456554645162,17.028339564946236,67.69180630895161,29.859702115134407
2021,8,Tripura,16.43284569,0.881322645,30.93310621,12.54981964,110.2892647,65.51108932
2021,8,Uttar Pradesh,24.37381259110599,0.774693445690586,10.553955687544438,17.685970879493087,95.81229733548388,35.96606744142857
2021,8,Uttarakhand,18.6948,0.79012987,3.162631579,18.22220779,75.58415584000001,30.91714286
2021,8,West Bengal,26.030732967344917,0.5550805886650124,7.774265255980149,17.079263406327545,53.85777566104218,26.686917797866005
2021,9,Andhra Pradesh,23.947042672703702,0.6425849020888889,9.16202291197778,21.48139898477778,60.86203995985185,26.65514572537037
2021,9,Arunachal Pradesh,12.131610381333331,0.260902924,29.978381208,6.0445458936000005,44.22556892266667,13.214446042666667
2021,9,Assam,23.20179534814815,0.6404527278518518,24.324190636666668,8.26997083525926,106.38803133148149,53.51856108518518
2021,9,Bihar,34.393286947586205,1.0003470036666668,7.77013615154023,29.008059486551726,147.58370844712644,68.79371428206896
2021,9,Chandigarh,32.776989702222224,0.7691337868888889,7.155316683555555,26.18427038444445,63.57665262222223,30.95862860888889
2021,9,Chhattisgarh,17.55797226,0.721384558,10.95072235,33.28609626,58.926613720000006,42.0941967
2021,9,Delhi,23.28110595502222,1.0506687357822222,8.525241842255555,24.939097356166663,84.39333666166668,32.91127865288889
2021,9,Gujarat,17.10533858817949,0.6792164486564103,9.009212716589744,11.508114922256407,50.18507692307693,26.45976923076923
2021,9,Haryana,27.03693788746377,0.6168353848985507,8.20381273142029,19.039807946478263,75.81074754884057,30.075671400072466
2021,9,Himachal Pradesh,65.11646707,0.596966068,28.65698603,18.75348643,142.547485,58.96892216
2021,9,Jammu and Kashmir,5.395879936833333,0.3813333333333333,14.918,11.968559322666668,147.47667534966666,25.951
2021,9,Jharkhand,46.68387324,4.986901408,14.86428571,14.24147887,105.8316484,82.60571429
2021,9,Karnataka,20.076251038392854,0.5949210398190476,10.16128423140476,15.43471474625,45.69964641228572,19.55293129457143
2021,9,Kerala,27.16765913685714,0.9285152869714286,9.520184839980953,18.02520984857143,43.65488397952381,22.20543702552381
2021,9,Madhya Pradesh,34.16554302666666,0.7233264293703704,15.394917257037037,23.39069276,80.35310453,31.494401089444445
2021,9,Maharashtra,24.302593630666664,0.943485762708586,16.832962665656567,24.025992100631317,88.59642482757575,36.43631545063636
2021,9,Meghalaya ,7.780898876,0.541333333,8.514944444,14.25653631,39.85819355,19.3056051
2021,9,Nagaland,8.859666666666667,0.2966666666666667,28.799333333333333,2.6626666666666665,39.92633333333333,12.724666666666668
2021,9,Odisha,38.92412002,0.606495381,8.730087159,19.03920359,134.1505236,60.51482899
