0,1,NO2,Ozone,SO2,CO,clusterid
-0.47644999005445937,-0.3265523645637789,-1.1725223328288026,-0.8815309257225403,-0.20929990403439508,-1.2841322834038262,0.0
0.832733574968375,0.09867828427821197,-1.0841250953414057,-0.7527365317724364,-0.0005605224419654274,-1.1107674628288915,0.0
0.5903740470663463,0.6598155421315524,-0.8896511728691325,-0.8403466718431468,-0.005148201158282872,-1.2841322834038262,0.0
0.16439182547312042,0.598971816691107,-1.0198361953505717,-0.9668946519452837,-0.09002025741014968,-1.0240850525414242,0.0
0.7489104484478116,0.4215890960258811,-1.1018045428388852,-0.9571601919374271,0.733468072168776,-1.4574971039787608,0.0
0.5289961556173018,0.7448762799265436,-0.7273217003922765,-0.7437508763805686,-0.3446364261657505,-0.7206966165352887,0.0
0.4449473688686645,-0.06667186319492546,-0.17925882797041592,-0.6793536794055166,-0.1634231168712239,-0.9807438473976906,0.0
-0.49987100183210514,0.5361056026603558,-0.44284331793283577,-0.051855411206754166,0.020084031781461644,-0.11391974452301741,0.0
-0.5477946011943288,-0.6775301670963553,-0.5473127804179412,-0.04811138812680949,-0.16801079558754092,-0.6340142062478213,0.0
0.7504574697175843,0.008140763897853618,-0.43802165043352304,-0.09903010201405989,0.4031552045939424,-0.3739669753854191,0.0
-0.7085116090931021,-0.4427355511256387,-0.6164233479080878,-0.3431404068264662,0.6898851243637633,-0.5473317959603539,0.0
0.2979772766016507,0.8553983745949529,-0.4958816604252739,-0.7085570594290868,-0.08772641805199116,-0.5039905908166202,0.0
0.03942583708868895,0.5754891339859726,-0.7916106003831107,-0.6074684362705748,0.06366697958647431,-0.8507202319664896,0.0
0.07493486548905456,0.8503643869414895,-0.8157189378796735,-0.5490616762234348,-0.47079759086447187,-0.677355411391555,0.0
-0.4799681313613103,0.701604052705779,-0.6533894654028172,-0.6291837701342553,-0.4524468759992033,-0.6340142062478213,0.0
-0.08878680326014926,0.3631233715598128,-0.6373172404051087,-0.8628108103228159,1.2633449639034051,-0.5039905908166202,0.0
0.18944728290415938,0.6997228088428019,-0.9764411878567586,-0.8463371087710585,0.6577713733495432,-1.1541086679726251,0.0
0.8113538042859765,0.2158248275051474,-0.8414344978760069,-0.7392580486846348,-0.26664588798835925,-0.8073790268227559,0.0
0.4954458677993489,0.6923815684138693,-0.9041161753670702,-0.7385092440686457,-0.12901552649884532,-0.937402642253957,0.0
0.8208807664442349,0.20174346262277867,-0.34158830044727195,-1.1915360367419767,-0.5464942896837046,-0.5039905908166202,0.0
-0.3492170380384765,0.30363583305297503,-0.894472840368445,-1.1518493920945612,-0.4157454462686662,-0.5473317959603539,0.0
0.727360025013661,-0.37842432003583776,-0.8880439503693618,-0.4397362022890441,-0.5717265226234487,-0.677355411391555,0.0
0.27957026760135695,-0.8431104839242257,-0.8591139453734864,0.018532222696209483,0.5270225299345048,-0.4606493856728865,0.0
0.8145431738584555,0.22590527165464028,-0.7064278078952553,0.23793197518097967,1.2059989799494408,-0.3306257702416859,0.0
0.5949129365176469,0.5267676221436949,-0.7450011478897558,0.4258819337942132,0.15083287519649963,-0.5039905908166202,0.0
0.8413735856593969,0.19878356615292136,-0.6614255779016716,-0.14470718358938717,-0.1381908839314798,-0.8940614371102232,0.0
-0.760349815898842,0.16216889525925665,-0.9651906303583626,-0.507128617728052,-0.4868544663715819,-0.8940614371102232,0.0
-0.14744906130817298,0.6152860618058577,0.13575678198467095,-1.4738353769698211,0.20359118043414678,-0.7206966165352887,0.0
0.38977008331051954,0.6265043517906809,-0.6919628053973177,-0.7145474963569987,-0.45932839407367887,-0.7206966165352887,0.0
0.7047858798952972,0.5009092499708349,-1.0664456478439264,-0.5745210331670599,-0.5510819684000217,-0.677355411391555,0.0
0.6053187937562978,0.6443278592664338,-0.6951772503968596,-0.9054926734341876,0.01779019242330313,-0.3739669753854191,0.0
-0.6539968739974138,-0.06335171502853527,-0.14229271047568626,-0.9571601919374271,0.013202513706985683,-0.2872845650979522,0.0
0.5105751603557249,0.6648190433753257,-0.004071575495393054,-0.5101238361920081,0.272406361178904,-0.4606493856728865,0.0
-0.41628481657537353,-0.8308493945968283,-0.8526850553744029,-0.28098962369938096,0.18753430492703674,-0.937402642253957,0.0
